id,questionusageid,slot,behaviour,questionid,variant,maxmark,minfraction,maxfraction,flagged,rightanswer,responsesummary,timemodified,questionattemptid,sequencenumber,state,fraction,timecreated,userid
6348933,268784,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",Seed: 1; prt1: !,1583695202,1843316,1,gaveup,,1583695202,2
6379944,270357,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.0,1.0],[0.2,0.8],[0.5,0.5],[1.0,0.0]] [score]; prt1: # = 0.6 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",1583864402,1851958,2,gradedpartial,0.6,1583864402,2
6387366,270632,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",Seed: 1; prt1: !,1583884802,1853753,1,gaveup,,1583884801,2
6387375,270651,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",Seed: 1; prt1: !,1583884802,1853916,1,gaveup,,1583884801,2
6375248,270145,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.0,1.0],[0.4,0.6],[0.7,0.3],[1.0,1.0]] [score]; prt1: # = 0.6 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 1). | prt1-3-F | prt1-4-F | prt1-5-T | prt1-6-T",1583841820,1850868,2,gradedpartial,0.6,1583841820,2956
6377973,270276,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.0,0.9],[0.2,0.8],[0.5,0.5],[1.0,0.0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",1583853339,1851519,3,gradedright,1,1583853338,2894
6383088,270491,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.2,0.8],[0.4,0.6],[0.5,0.5],[0.8,0.2]] [score]; prt1: # = 0 | ATAlgEquiv_SA_not_logic. | prt1-1-F",1583874177,1852781,2,gradedwrong,0,1583874177,977
6386876,270653,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T",Seed: 1; prt1: !,1583883173,1853934,1,gaveup,,1583883173,3199
6386041,270612,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.0,0.0],[0.2,0.8],[0.5,0.5],[1.0,0.0]] [score]; prt1: # = 0.6 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | prt1-4-F | prt1-5-T | prt1-6-T",1583881397,1853593,2,gradedpartial,0.6,1583881397,116
6384438,270526,7,deferredfeedback,18341,1,1,0,1,0,"Seed: 1; pwd_ans1: [[0,0.9],[0.2,0.8],[0.5,0.5],[1,0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F | ATLogic_True. | prt1-4-T | prt1-5-T | prt1-6-T","Seed: 1; pwd_ans1: [[0.2,-0.4],[0.2,0.8],[0.5,0.5],[1.0,0.0]] [score]; prt1: # = 0 | ATAlgEquiv_SA_not_logic. | prt1-1-F",1583877755,1853043,2,gradedwrong,0,1583877755,3314
