id,student,part,state,responsesummary,fraction
1799494,anon5,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.4,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799520,anon9,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.0],[0.7,0.0],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1799546,anon10,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.4],[0.3,0.2],[0.5,0.4]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F",0
1799573,anon11,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799600,anon12,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.5,0.5],[0.7,0.7],[1.0,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1799626,anon14,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799648,anon16,a,gaveup,Seed: 1; prt1: !,NA
1799670,anon17,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.3],[0.6,0.6],[1.0,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1799693,anon18,a,gaveup,Seed: 1; prt1: !,NA
1799715,anon19,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,1.0],[0.3,0.3],[0.7,0.6],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1799741,anon23,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799786,anon27,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.5],[0.3,0.0],[0.7,0.0],[1.0,0.0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799814,anon30,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799841,anon31,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,1.0],[0.3,0.7],[0.6,0.4],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1799868,anon32,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799895,anon33,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799922,anon34,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1799948,anon35,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.4,0.4],[0.5,0.5],[0.5,0.5]] [score]; prt1: # = 0 | prt1-1-F",0
1799974,anon36,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.5],[0.4,0.0],[0.6,0.5]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F",0
1800001,anon37,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.4],[0.2,0.2],[0.3,0.4],[0.5,0.3]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F",0
1800028,anon39,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800053,anon40,a,gaveup,Seed: 1; prt1: !,NA
1800076,anon41,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,1.0],[0.5,0.5],[0.5,0.5],[1.0,0.0]] [score]; prt1: # = 0 | prt1-1-F",0
1800102,anon44,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800128,anon45,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800154,anon46,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.5],[0.2,0.1],[0.6,0.3],[1.0,0.2]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 1). | prt1-3-F",0
1800181,anon47,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.4],[0.7,0.4],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F",0
1800207,anon48,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.4,0.2],[0.8,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800233,anon49,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.0,0.3],[0.0,0.7],[0.0,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F",0
1800259,anon50,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.8,0.3],[0.9,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800286,anon51,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800313,anon53,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
1800339,anon54,a,gradedwrong,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.0,1.0],[0.4,0.5],[0.5,0.0]] [score]; prt1: # = 0 | prt1-1-F",0
1800365,anon55,a,gradedright,"Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.1],[0.3,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T",1
