question,responses
A,"32 ( 10.06%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"18 (  5.66%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"16 (  5.03%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.4,0.2],[0.8,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"15 (  4.72%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"12 (  3.77%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.0],[0.7,0.0],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F"
A,"10 (  3.14%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.7,0.4],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"9  (  2.83%); Seed: 1; pwa_ans1: [[0.0,0.5],[0.3,0.0],[0.7,0.0],[1.0,0.0]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,9  (  2.83%); Seed: 1; prt1: !
A,"8  (  2.52%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.4,0.2],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"6  (  1.89%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"4  (  1.26%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.2,0.1],[0.4,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"4  (  1.26%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.1],[0.3,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"3  (  0.94%); Seed: 1; pwa_ans1: [[0.0,0.5],[0.0,0.5],[0.0,0.5],[0.0,0.5]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F"
A,"3  (  0.94%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.2],[0.6,0.3],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
A,"3  (  0.94%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.3],[0.7,0.7],[1.0,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F"
A,"3  (  0.94%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.2],[0.3,0.6],[0.5,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.4,0.4],[0.5,0.5],[0.5,0.5]] [score]; prt1: # = 0 | prt1-1-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,1.0],[0.3,0.7],[0.6,0.4],[1.0,0.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.1],[0.3,0.3],[0.5,0.5]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.1,0.1],[0.2,0.2],[0.5,0.5]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | (ATList_wrongentries 2). | prt1-2-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.5,0.5],[0.7,0.7],[1.0,1.0]] [score]; prt1: # = 0 | ATLogic_True. | prt1-1-T | prt1-2-T | (ATList_wrongentries 2). | prt1-3-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[1.0,0.5],[1.0,0.5],[1.0,0.5]] [score]; prt1: # = 0 | prt1-1-F"
A,"2  (  0.63%); Seed: 1; pwa_ans1: [[0.0,0.0],[0.3,0.1],[0.7,0.2],[1.0,0.5]] [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-2-T | prt1-3-T"
